#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB191024A   |    931242    | 8.468492e-08 | 7.493350e-08 | 9.467736e-08 | 1.309894e-07 | 1.210643e-07 | 1.409179e-07 | 1.522496e-07 | 1.344733e-07 | 1.701320e-07 | 1.002689e-07 | 8.289074e-08 | 1.191313e-07 | 3.405854e-07 | 2.658680e-07 | 4.285446e-07 | 4.681942e-07 | 4.268999e-07 | 5.100069e-07 | 7.085101e-07 | 6.152421e-07 | 8.120374e-07 | 8.404 | -0.956000 | 7.448000 |  
GRB191019A   |    930285    | 2.870018e-06 | 2.737756e-06 | 3.004932e-06 | 3.342063e-06 | 3.255177e-06 | 3.428899e-06 | 2.801075e-06 | 2.695099e-06 | 2.907132e-06 | 1.423229e-06 | 1.334857e-06 | 1.514274e-06 | 3.962549e-06 | 3.644724e-06 | 4.299071e-06 | 1.043626e-05 | 1.017688e-05 | 1.069584e-05 | 1.297551e-05 | 1.257114e-05 | 1.338889e-05 | 85.15 | -0.828000 | 84.320000 |  
GRB191017B   |    929981    | 9.117117e-08 | 7.704556e-08 | 1.056641e-07 | 1.376567e-07 | 1.228507e-07 | 1.524535e-07 | 1.556458e-07 | 1.276343e-07 | 1.841991e-07 | 1.003062e-07 | 7.425872e-08 | 1.300971e-07 | 3.346937e-07 | 2.275032e-07 | 4.722126e-07 | 4.847720e-07 | 4.205015e-07 | 5.507031e-07 | 7.191635e-07 | 5.801330e-07 | 8.829936e-07 | 5.016 | -1.300000 | 3.716000 |  
GRB191016A   |    929744    | 8.853426e-07 | 8.263069e-07 | 9.457827e-07 | 1.496447e-06 | 1.437876e-06 | 1.554824e-06 | 1.924604e-06 | 1.827937e-06 | 2.021164e-06 | 1.371833e-06 | 1.262645e-06 | 1.484948e-06 | 4.981629e-06 | 4.448887e-06 | 5.557909e-06 | 5.678209e-06 | 5.451190e-06 | 5.906108e-06 | 9.287981e-06 | 8.685431e-06 | 9.924790e-06 | 161.6 | -42.828000 | 118.816000 |  
GRB191011A   |    928924    | 7.018566e-08 | 6.115027e-08 | 7.943984e-08 | 9.922892e-08 | 9.053751e-08 | 1.079291e-07 | 1.040419e-07 | 8.819590e-08 | 1.201264e-07 | 6.318127e-08 | 4.904767e-08 | 7.902206e-08 | 2.010057e-07 | 1.453444e-07 | 2.696239e-07 | 3.366343e-07 | 3.008835e-07 | 3.731113e-07 | 4.744586e-07 | 4.010591e-07 | 5.580439e-07 | 8.172 | -0.212000 | 7.960000 |  
GRB191004B   |    927839    | 2.518937e-07 | 2.122010e-07 | 2.936888e-07 | 5.933178e-07 | 5.373871e-07 | 6.484662e-07 | 1.110190e-06 | 1.004725e-06 | 1.214723e-06 | 1.055571e-06 | 9.004246e-07 | 1.220302e-06 | 5.014843e-06 | 3.990593e-06 | 6.224685e-06 | 3.010977e-06 | 2.741936e-06 | 3.282596e-06 | 6.970233e-06 | 5.877565e-06 | 8.225783e-06 | 384.2 | -1.452000 | 382.784000 |  
GRB191004A   |    927825    | 1.429900e-07 | 1.301655e-07 | 1.561802e-07 | 2.879492e-07 | 2.719919e-07 | 3.038337e-07 | 4.517164e-07 | 4.249481e-07 | 4.783612e-07 | 3.754359e-07 | 3.415355e-07 | 4.103229e-07 | 1.565474e-06 | 1.372069e-06 | 1.775848e-06 | 1.258102e-06 | 1.191176e-06 | 1.325183e-06 | 2.448138e-06 | 2.235609e-06 | 2.674150e-06 | 2.668 | -0.092000 | 2.576000 |  
GRB191001B   |    927345    | 6.438856e-07 | 5.754780e-07 | 7.148068e-07 | 1.134694e-06 | 1.060984e-06 | 1.208033e-06 | 1.530343e-06 | 1.415463e-06 | 1.644594e-06 | 1.131823e-06 | 1.000780e-06 | 1.268495e-06 | 4.244522e-06 | 3.587391e-06 | 4.976324e-06 | 4.440672e-06 | 4.161393e-06 | 4.721051e-06 | 7.553334e-06 | 6.809867e-06 | 8.353119e-06 | 121.4 | 4.728000 | 126.120000 |  
GRB190926A   |    926515    | 5.689964e-07 | 5.004603e-07 | 6.391748e-07 | 7.210401e-07 | 6.601606e-07 | 7.817708e-07 | 6.664377e-07 | 5.588813e-07 | 7.767112e-07 | 3.661672e-07 | 2.792733e-07 | 4.652428e-07 | 1.078995e-06 | 7.665308e-07 | 1.470244e-06 | 2.322681e-06 | 2.086073e-06 | 2.564717e-06 | 3.035495e-06 | 2.597284e-06 | 3.534187e-06 | 386.5 | -0.004000 | 386.468000 |  
GRB190829A   |    922968    | 2.192711e-06 | 1.907706e-06 | 2.483598e-06 | 2.124425e-06 | 1.896101e-06 | 2.350289e-06 | 1.436949e-06 | 1.141987e-06 | 1.747195e-06 | 6.139903e-07 | 4.337019e-07 | 8.288027e-07 | 1.521848e-06 | 9.981395e-07 | 2.208164e-06 | 6.367976e-06 | 5.651729e-06 | 7.097108e-06 | 7.275639e-06 | 6.284796e-06 | 8.363561e-06 | 59.14 | -51.896000 | 7.240000 |  
GRB190828B   |    922808    | 5.042212e-07 | 4.234490e-07 | 5.886961e-07 | 1.019931e-06 | 9.207488e-07 | 1.117947e-06 | 1.608018e-06 | 1.426498e-06 | 1.788056e-06 | 1.341625e-06 | 1.110788e-06 | 1.589356e-06 | 5.614371e-06 | 4.325847e-06 | 7.158156e-06 | 4.473847e-06 | 4.031264e-06 | 4.920975e-06 | 8.746638e-06 | 7.317641e-06 | 1.038846e-05 | 940.7 | -42.360000 | 898.360000 |  
