#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Best-fit model: Best-fit model, either simple power law (PL) or cutoff power law (CPL). N/A means not applicable.
#####################################################################################
#####################################################################################
GRB170101A |   729293   | PL
GRB161224A |   728268   | PL
GRB161220A |   727610   | N/A
GRB161219B |   727541   | PL
GRB161218A |   727288   | CPL
GRB161217A |   727167   | PL
GRB161214B |   726885   | PL
GRB161202A |   725036   | PL
GRB161129A |   724438   | PL
GRB161117B |   722642   | CPL
GRB161117A |   722604   | CPL
GRB161113A |   722063   | PL
GRB161108A |   721234   | PL
GRB161105A |   720697   | PL
GRB161104A |   720568   | PL
GRB161022A |   718655   | PL
GRB161017A |   718023   | PL
GRB161014A |   717500   | PL
GRB161011A |   716876   | PL
GRB161007A |   716127   | PL
GRB161004B |   715246   | CPL
GRB161004A |   715084   | N/A
GRB161001A |   714404   | PL
GRB160927A |   713782   | PL
GRB160917A |   712505   | PL
GRB160912A |   711914   | PL
GRB160905A |   711084   | PL
GRB160827A |   710050   | PL
GRB160826A |   709907   | N/A
GRB160824A |   709765   | PL
GRB160821B |   709357   | N/A
GRB160821A |   709351   | PL
GRB160819A |   00086022006  | PL
GRB160815A |   708598   | CPL
GRB160804A |   707231   | CPL
GRB160801A |   706871   | PL
GRB160726A |   706052   | PL
GRB160716A |   704572   | PL
GRB160714A |   704310   | PL
GRB160712A |   704155   | PL
GRB160709A |   703769   | PL
GRB160705B |   703176   | PL
GRB160703A |   702699   | PL
GRB160630A |   702252   | PL
GRB160625A |   701503   | PL
GRB160624A |   701288   | PL
GRB160623A |   N/A      | N/A
GRB160612A |   00031791037  | N/A
GRB160611A |   690598   | PL
GRB160607A |   689597   | PL
GRB160601A |   688452   | PL
GRB160525B |   687522   | PL
GRB160525A |   687492   | N/A
GRB160519A |   686818   | PL
GRB160506A |   685245   | PL
GRB160504A |   685124   | PL
GRB160501A |   684679   | PL
GRB160425A |   684098   | PL
GRB160424A |   683906   | PL
GRB160419A |   683383   | CPL
GRB160417A |   683076   | PL
GRB160412A |   682522   | PL
GRB160411A |   682339   | PL
GRB160410A |   682269   | PL
GRB160409A |   682162   | N/A
GRB160408A |   682059   | N/A
GRB160327A |   680655   | PL
GRB160325A |   680436   | PL
GRB160321A |   680017   | PL
GRB160314A |   679120   | PL
GRB160313A |   678929   | N/A
GRB160303A |   677495   | PL
GRB160228A |   676595   | PL
GRB160227A |   676423   | CPL
GRB160225A |   675998   | PL
GRB160223A |   675361   | PL
GRB160220B |   674734   | CPL
GRB160220A |   674670   | PL
GRB160216A |   673978   | PL
GRB160203A |   672525   | PL
GRB160131A |   672236   | PL
GRB160127A |   671828   | PL
GRB160123A |   671447   | PL
GRB160121A |   671231   | PL
GRB160119A |   671014   | PL
GRB160117B |   670800   | PL
GRB160117A |   670793   | PL
GRB160104A |   669319   | PL
GRB151229A |   668689   | PL
GRB151228B |   668641   | CPL
GRB151228A |   668543   | CPL
GRB151215A |   667392   | PL
GRB151210A |   666931   | PL
GRB151205B |   666378   | PL
GRB151205A |   666352   | PL
