#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB190613A   |    908288    | 9.941828e-08 | N/A | N/A | 1.346159e-07 | 2.461876e-08 | 1.939216e-07 | 1.407201e-07 | N/A | N/A | 9.072484e-08 | N/A | N/A | 3.375408e-07 | 6.188369e-08 | 5.225961e-07 | 4.653248e-07 | N/A | N/A | 7.394625e-07 | N/A | N/A | 19.7 | 0.624000 | 20.320000 |  
GRB190611A   |    907950    | 7.708934e-08 | 3.067639e-08 | 1.221586e-07 | 1.524349e-07 | 6.075951e-08 | 2.094519e-07 | 1.459064e-07 | 6.840602e-08 | 2.240548e-07 | 4.397990e-08 | 2.014208e-09 | 1.202525e-07 | 6.052214e-08 | N/A | N/A | 4.194057e-07 | 2.747036e-07 | 5.959835e-07 | 4.360781e-07 | 2.753812e-07 | 7.845024e-07 | 64.7 | -0.872000 | 63.824000 |  
GRB190610A   |    907754    | 1.246642e-08 | N/A | N/A | 4.826938e-08 | N/A | N/A | 1.547682e-07 | N/A | N/A | 2.207606e-07 | 1.744463e-07 | 2.671541e-07 | 1.628440e-06 | 7.755533e-07 | 2.220454e-06 | 4.357844e-07 | 3.654784e-07 | 5.048609e-07 | 1.825374e-06 | 1.011793e-06 | 2.079897e-06 | 0.74 | 0.212000 | 0.952000 |  
GRB190604B   |    906654    | 2.919659e-06 | 2.742220e-06 | 3.093300e-06 | 4.745502e-06 | 4.621917e-06 | 4.869701e-06 | 5.650569e-06 | 5.480147e-06 | 5.822002e-06 | 3.636238e-06 | 3.357857e-06 | 3.874379e-06 | 1.129334e-05 | 8.961945e-06 | 1.236096e-05 | 1.695205e-05 | 1.650031e-05 | 1.739451e-05 | 2.460890e-05 | 2.221172e-05 | 2.668162e-05 | 277.8 | -39.776000 | 238.040000 |  
GRB190519A   |    904394    | 2.781097e-06 | 2.564343e-06 | 3.001761e-06 | 5.108179e-06 | 4.910166e-06 | 5.308064e-06 | 6.301968e-06 | 6.015006e-06 | 6.591834e-06 | 3.650616e-06 | 3.239337e-06 | 4.064023e-06 | 8.743515e-06 | 6.645321e-06 | 1.163017e-05 | 1.784211e-05 | 1.716470e-05 | 1.851766e-05 | 2.293486e-05 | 2.074465e-05 | 2.585450e-05 | 58.1 | -52.472000 | 5.624000 |  
GRB190515B   |    903845    | 2.710989e-07 | N/A | N/A | 4.087123e-07 | 3.738675e-07 | 4.578758e-07 | 4.784733e-07 | N/A | N/A | 2.437124e-07 | 2.095790e-07 | 2.696856e-07 | 1.063917e-06 | N/A | N/A | 1.486099e-06 | 1.302830e-06 | 1.647471e-06 | 2.216346e-06 | 1.710282e-06 | 2.563880e-06 | 57.34 | -25.544000 | 31.800000 |  
GRB190512A   |    903357    | 2.883274e-07 | 2.532946e-07 | 3.234267e-07 | 4.177975e-07 | 3.776990e-07 | 4.593417e-07 | 3.618561e-07 | 2.994925e-07 | 4.192430e-07 | 1.404449e-07 | 6.870305e-08 | 2.313587e-07 | 2.471473e-07 | 8.783261e-08 | 7.237956e-07 | 1.208414e-06 | 1.071682e-06 | 1.350286e-06 | 1.315152e-06 | 1.097908e-06 | 1.791372e-06 | 53 | -9.700000 | 43.300000 |  
GRB190511A   |    903158    | 1.664861e-07 | N/A | N/A | 2.166447e-07 | N/A | N/A | 2.167195e-07 | N/A | N/A | 1.351319e-07 | N/A | N/A | 4.864499e-07 | N/A | N/A | 7.293368e-07 | N/A | N/A | 1.081977e-06 | N/A | N/A | 31.15 | -24.272000 | 6.880000 |  
GRB190427A   |    900730    | 1.188940e-08 | 8.867066e-09 | 1.440987e-08 | 2.691473e-08 | 2.288442e-08 | 3.146082e-08 | 4.491693e-08 | 3.747658e-08 | 5.265990e-08 | 3.590624e-08 | 2.094788e-08 | 4.649325e-08 | 1.229419e-07 | 3.559181e-08 | 2.127992e-07 | 1.196272e-07 | 1.001037e-07 | 1.378986e-07 | 2.066236e-07 | 1.177606e-07 | 3.154714e-07 | 0.32 | -0.008000 | 0.312000 |  
GRB190424A   |    900285    | 1.541686e-07 | 1.280667e-07 | 1.806700e-07 | 3.081811e-07 | 2.768892e-07 | 3.405227e-07 | 4.324202e-07 | 3.834564e-07 | 4.824430e-07 | 2.894384e-07 | 2.049396e-07 | 3.600942e-07 | 8.074135e-07 | 3.733671e-07 | 1.398318e-06 | 1.184203e-06 | 1.062493e-06 | 1.304926e-06 | 1.702142e-06 | 1.254891e-06 | 2.277068e-06 | 15.68 | -1.312000 | 14.368000 |  
